word_id	utterance_id	location	surface	auto	fix	speaker	langid	filename	clause	clauseno
73	7	11	of	of.PREP		COL	eng	sastre13		
74	7	12	the	the.DET.DEF		COL	eng	sastre13		
75	7	13	democrats	unk		COL	eng	sastre13		
76	7	14	that	that.CONJ		COL	eng	sastre13		
77	7	15	she	she.PRON.SUB.F.3S		COL	eng	sastre13		
78	7	16	has	ha.IM+V 3S PRES.[or].has.V.3S.PRES		COL	eng	sastre13		
79	7	17	because	because.CONJ		COL	eng	sastre13		
80	7	18	she	she.PRON.SUB.F.3S		COL	eng	sastre13		
81	7	19	has	ha.IM+V 3S PRES.[or].has.V.3S.PRES		COL	eng	sastre13		
82	7	20	a	a.DET.INDEF		COL	eng	sastre13		
83	7	21	couple	couple.N.SG		COL	eng	sastre13		
84	7	22	.			COL	999	sastre13		
85	8	1	they	they.PRON.SUB.3P		COL	eng	sastre13		
86	8	2	want	want.V.3P.PRES		COL	eng	sastre13		
87	8	3	him	him.PRON.OBJ.M.3S		COL	eng	sastre13		
88	8	4	to	to.PREP		COL	eng	sastre13		
89	8	5	get	get.V.INFIN		COL	eng	sastre13		
90	8	6	the	the.DET.DEF		COL	eng	sastre13		
91	8	7	rest	rest.N.SG		COL	eng	sastre13		
92	8	8	of	of.PREP		COL	eng	sastre13		
93	8	9	the	the.DET.DEF		COL	eng	sastre13		
94	8	10	democrats	unk		COL	eng	sastre13		
95	8	11	.			COL	999	sastre13		
96	9	1	mmhm	mmhm.IM		ELI	eng	sastre13		
97	9	2	.			ELI	999	sastre13		
98	10	1	and	and.CONJ		COL	eng	sastre13		
99	10	2	if	if.CONJ		COL	eng	sastre13		
100	10	3	he	he.PRON.SUB.M.3S		COL	eng	sastre13		
101	10	4	gets	get.V.3S.PRES		COL	eng	sastre13		
102	10	5	the	the.DET.DEF		COL	eng	sastre13		
103	10	6	rest	rest.N.SG		COL	eng	sastre13		
104	10	7	of	of.PREP		COL	eng	sastre13		
105	10	8	the	the.DET.DEF		COL	eng	sastre13		
106	10	9	democrats	unk		COL	eng	sastre13		
107	10	10	that's	that.DEM.FAR+BE.V.3S.PRES		COL	eng	sastre13		
108	10	11	it	it.PRON.OBJ.3S		COL	eng	sastre13		
109	10	12	.			COL	999	sastre13		
110	11	1	he	he.PRON.SUB.M.3S		COL	eng	sastre13		
111	11	2	becomes	become.V.3S.PRES		COL	eng	sastre13		
112	11	3	the	the.DET.DEF		COL	eng	sastre13		
113	11	4	next	next.ADJ		COL	eng	sastre13		
114	11	5	president	president.N.SG		COL	eng	sastre13		
115	11	6	.			COL	999	sastre13		
116	12	1	oh	oh.IM		ELI	eng	sastre13		
117	12	2	my	my.ADJ.POSS.1S		ELI	eng	sastre13		
118	12	3	god	god.N.SG		ELI	eng	sastre13		
119	12	4	.			ELI	999	sastre13		
120	13	1	yup	unk		COL	eng	sastre13		
121	13	2	.			COL	999	sastre13		
122	14	1	has	ha.IM+PV.[or].has.V.3S.PRES		ELI	eng	sastre13		
123	14	2	that	that.CONJ.[or].that.DEM.FAR		ELI	eng	sastre13		
124	14	3	ever	ever.ADV		ELI	eng	sastre13		
125	14	4	even	even.ADV		ELI	eng	sastre13		
126	14	5	happened	happen.V.PASTPART		ELI	eng	sastre13		
127	14	6	before	before.CONJ		ELI	eng	sastre13		
128	14	7	?			ELI	999	sastre13		
129	15	1	a	a.DET.INDEF		COL	eng	sastre13		
130	15	2	black	black.ADJ		COL	eng	sastre13		
131	15	3	president	president.N.SG		COL	eng	sastre13		
132	15	4	?			COL	999	sastre13		
133	16	1	no	no.ADV		COL	eng	sastre13		
134	16	2	.			COL	999	sastre13		
135	17	1	no	no.ADV		ELI	eng	sastre13		
136	17	2	not	not.ADV		ELI	eng	sastre13		
137	17	3	a	a.DET.INDEF		ELI	eng	sastre13		
138	17	4	.			ELI	999	sastre13		
139	18	1	I	I.PRON.SUB.1S		ELI	eng	sastre13		
140	18	2	know	know.V.1S.PRES		ELI	eng	sastre13		
141	18	3	that	that.DEM.FAR		ELI	eng	sastre13		
142	18	4	much	much.ADJ		ELI	eng	sastre13		
143	18	5	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
144	18	6	know	know.V.2SP.PRES		ELI	eng	sastre13		
145	18	7	hello	hello.N.SG		ELI	eng	sastre13		
146	18	8	.			ELI	999	sastre13		
147	19	1	ok	unk		COL	eng	sastre13		
148	19	2	ok	unk		COL	eng	sastre13		
149	19	3	.			COL	999	sastre13		
150	20	1	well	well.ADV		ELI	eng	sastre13		
151	20	2	I'm	I.PRON.SUB.1S+BE.V.PRES		ELI	eng	sastre13		
152	20	3	saying	say.V.PRESPART		ELI	eng	sastre13		
153	20	4	like	like.CONJ		ELI	eng	sastre13		
154	20	5	has	ha.IM+PV.[or].has.V.3S.PRES		ELI	eng	sastre13		
155	20	6	that	that.CONJ.[or].that.DEM.FAR		ELI	eng	sastre13		
156	20	7	ever	ever.ADV		ELI	eng	sastre13		
157	20	8	happened	happen.SV.INFIN+AV		ELI	eng	sastre13		
158	20	9	before	before.CONJ		ELI	eng	sastre13		
159	20	10	like	like.CONJ.[or].like.V.INFIN		ELI	eng	sastre13		
160	20	11	when	when.CONJ		ELI	eng	sastre13		
161	20	12	they	they.PRON.SUB.3P		ELI	eng	sastre13		
162	20	13	like	like.V.3P.PRES		ELI	eng	sastre13		
163	20	14	.			ELI	999	sastre13		
164	21	1	when	when.CONJ		COL	eng	sastre13		
165	21	2	when	when.CONJ		COL	eng	sastre13		
166	21	3	two	two.NUM		COL	eng	sastre13		
167	21	4	people	people.N.SG		COL	eng	sastre13		
168	21	5	like	like.CONJ.[or].like.N.SG		COL	eng	sastre13		
169	21	6	running	unk		COL	eng	sastre13		
170	21	7	like	like.CONJ.[or].like.SV.INFIN		COL	eng	sastre13		
171	21	8	that	that.DEM.FAR		COL	eng	sastre13		
172	21	9	?			COL	999	sastre13		
173	22	1	I'm	I.PRON.SUB.1S+BE.V.PRES		COL	eng	sastre13		
174	22	2	not	not.ADV		COL	eng	sastre13		
175	22	3	.			COL	999	sastre13		
176	23	1	no	no.ADV		ELI	eng	sastre13		
177	23	2	I'm	I.PRON.SUB.1S+BE.V.PRES		ELI	eng	sastre13		
178	23	3	saying	say.V.PRESPART		ELI	eng	sastre13		
179	23	4	like	like.CONJ		ELI	eng	sastre13		
180	23	5	that	that.DEM.FAR		ELI	eng	sastre13		
181	23	6	they	they.PRON.SUB.3P		ELI	eng	sastre13		
182	23	7	already	already.ADV		ELI	eng	sastre13		
183	23	8	know	know.V.INFIN		ELI	eng	sastre13		
184	23	9	who's	who.REL+GB		ELI	eng	sastre13		
185	23	10	gonna	go.V.PRESPART+TO.PREP		ELI	eng	sastre13		
186	23	11	win	win.V.INFIN		ELI	eng	sastre13		
187	23	12	from	from.PREP		ELI	eng	sastre13		
188	23	13	like	like.CONJ.[or].like.SV.INFIN		ELI	eng	sastre13		
189	23	14	before	before.CONJ		ELI	eng	sastre13		
190	23	15	.			ELI	999	sastre13		
191	24	1	no	no.ADV		COL	eng	sastre13		
192	24	2	no	no.ADV		COL	eng	sastre13		
193	24	3	no	no.ADV		COL	eng	sastre13		
194	24	4	it's	it.PRON.SUB.3S+BE.V.3S.PRES		COL	eng	sastre13		
195	24	5	not	not.ADV		COL	eng	sastre13		
196	24	6	that	that.CONJ.[or].that.DEM.FAR		COL	eng	sastre13		
197	24	7	they	they.PRON.SUB.3P		COL	eng	sastre13		
198	24	8	already	already.ADV		COL	eng	sastre13		
199	24	9	know	know.V.INFIN		COL	eng	sastre13		
200	24	10	who's	who.REL+GB		COL	eng	sastre13		
201	24	11	gonna	go.V.PRESPART+TO.PREP		COL	eng	sastre13		
202	24	12	win	win.V.INFIN		COL	eng	sastre13		
203	24	13	.			COL	999	sastre13		
204	25	1	what's	what.REL+GB		COL	eng	sastre13		
205	25	2	happened	happen.SV.INFIN+AV		COL	eng	sastre13		
206	25	3	is	is.V.3S.PRES		COL	eng	sastre13		
207	25	4	basically	basically.ADV		COL	eng	sastre13		
208	25	5	that	that.CONJ.[or].that.DEM.FAR		COL	eng	sastre13		
209	25	6	um	um.IM		COL	eng	sastre13		
210	25	7	they're	they.PRON.SUB.3P+BE.V.PRES		COL	eng	sastre13		
211	25	8	running	unk		COL	eng	sastre13		
212	25	9	against	against.PREP		COL	eng	sastre13		
213	25	10	each	each.ADJ		COL	eng	sastre13		
214	25	11	other	other.ADJ		COL	eng	sastre13		
215	25	12	for	for.PREP		COL	eng	sastre13		
216	25	13	the	the.DET.DEF		COL	eng	sastre13		
217	25	14	same	same.ADJ		COL	eng	sastre13		
218	25	15	within	within.PREP		COL	eng	sastre13		
219	25	16	the	the.DET.DEF		COL	eng	sastre13		
220	25	17	same	same.ADJ		COL	eng	sastre13		
221	25	18	party	party.N.SG		COL	eng	sastre13		
222	25	19	.			COL	999	sastre13		
223	26	1	mmhm	mmhm.IM		ELI	eng	sastre13		
224	26	2	.			ELI	999	sastre13		
225	27	1	like	like.CONJ		COL	eng	sastre13		
226	27	2	they're	they.PRON.SUB.3P+BE.V.PRES		COL	eng	sastre13		
227	27	3	both	both.ADJ		COL	eng	sastre13		
228	27	4	on	on.PREP		COL	eng	sastre13		
229	27	5	the	the.DET.DEF		COL	eng	sastre13		
230	27	6	same	same.ADJ		COL	eng	sastre13		
231	27	7	team	team.N.SG		COL	eng	sastre13		
232	27	8	if	if.CONJ		COL	eng	sastre13		
233	27	9	you	you.PRON.SUB.2SP		COL	eng	sastre13		
234	27	10	will	will.V.2SP.FUT		COL	eng	sastre13		
235	27	11	.			COL	999	sastre13		
236	28	1	oh	oh.IM		ELI	eng	sastre13		
237	28	2	ok	unk		ELI	eng	sastre13		
238	28	3	.			ELI	999	sastre13		
239	29	1	and	and.CONJ		COL	eng	sastre13		
240	29	2	basically	basically.ADV		COL	eng	sastre13		
241	29	3	like	like.CONJ		COL	eng	sastre13		
242	29	4	you	you.PRON.SUB.2SP		COL	eng	sastre13		
243	29	5	know	know.V.2SP.PRES		COL	eng	sastre13		
244	29	6	there's	there.PRON+BE.V.3S.PRES		COL	eng	sastre13		
245	29	7	there	there.ADV		COL	eng	sastre13		
246	29	8	comes	comes.N.SG.[or].come.SV.INFIN+PV		COL	eng	sastre13		
247	29	9	a	a.DET.INDEF		COL	eng	sastre13		
248	29	10	certain	certain.ADJ		COL	eng	sastre13		
249	29	11	point	point.N.SG		COL	eng	sastre13		
250	29	12	when	when.CONJ		COL	eng	sastre13		
251	29	13	you	you.PRON.SUB.2SP		COL	eng	sastre13		
252	29	14	you	you.PRON.SUB.2SP		COL	eng	sastre13		
253	29	15	already	already.ADV		COL	eng	sastre13		
254	29	16	know	know.V.2SP.PRES		COL	eng	sastre13		
255	29	17	.			COL	999	sastre13		
256	30	1	like	like.CONJ		COL	eng	sastre13		
257	30	2	they	they.PRON.SUB.3P		COL	eng	sastre13		
258	30	3	keep	keep.V.3P.PRES		COL	eng	sastre13		
259	30	4	like	like.CONJ		COL	eng	sastre13		
260	30	5	you	you.PRON.SUB.2SP		COL	eng	sastre13		
261	30	6	know	know.V.2SP.PRES		COL	eng	sastre13		
262	30	7	like	like.CONJ		COL	eng	sastre13		
263	30	8	.			COL	999	sastre13		
264	31	1	oh	oh.IM		ELI	eng	sastre13		
265	31	2	ok	unk		ELI	eng	sastre13		
266	31	3	ok	unk		ELI	eng	sastre13		
267	31	4	ok	unk		ELI	eng	sastre13		
268	31	5	no	no.ADV		ELI	eng	sastre13		
269	31	6	now	now.ADV		ELI	eng	sastre13		
270	31	7	I	I.PRON.SUB.1S		ELI	eng	sastre13		
271	31	8	see	see.V.1S.PRES		ELI	eng	sastre13		
272	31	9	what	what.REL		ELI	eng	sastre13		
273	31	10	you're	you.PRON.SUB.2SP+BE.V.PRES		ELI	eng	sastre13		
274	31	11	saying	say.V.PRESPART		ELI	eng	sastre13		
275	31	12	.			ELI	999	sastre13		
276	32	1	yeah	yeah.ADV		COL	eng	sastre13		
277	32	2	.			COL	999	sastre13		
278	33	1	so	so.ADV		COL	eng	sastre13		
279	33	2	now	now.ADV		COL	eng	sastre13		
280	33	3	they	they.PRON.SUB.3P		COL	eng	sastre13		
281	33	4	already	already.ADV		COL	eng	sastre13		
282	33	5	know	know.V.INFIN		COL	eng	sastre13		
283	33	6	that	that.CONJ.[or].that.DEM.FAR		COL	eng	sastre13		
284	33	7	he's	he.PRON.SUB.M.3S+BE.V.3S.PRES		COL	eng	sastre13		
285	33	8	the	the.DET.DEF		COL	eng	sastre13		
286	33	9	one	one.PRON.SG		COL	eng	sastre13		
287	33	10	that	that.CONJ		COL	eng	sastre13		
288	33	11	he's	he.PRON.SUB.M.3S+BE.V.3S.PRES		COL	eng	sastre13		
289	33	12	gonna	go.V.PRESPART+TO.PREP		COL	eng	sastre13		
290	33	13	be	be.V.INFIN		COL	eng	sastre13		
291	33	14	running	unk		COL	eng	sastre13		
292	33	15	for	for.PREP		COL	eng	sastre13		
293	33	16	that	that.DEM.FAR		COL	eng	sastre13		
294	33	17	team	team.N.SG		COL	eng	sastre13		
295	33	18	.			COL	999	sastre13		
296	34	1	yeah	yeah.ADV		ELI	eng	sastre13		
297	34	2	yeah	yeah.ADV		ELI	eng	sastre13		
298	34	3	.			ELI	999	sastre13		
299	35	1	so	so.ADV		COL	eng	sastre13		
300	35	2	there's	there.PRON+BE.V.3S.PRES		COL	eng	sastre13		
301	35	3	no	no.ADV		COL	eng	sastre13		
302	35	4	reason	reason.N.SG		COL	eng	sastre13		
303	35	5	for	for.PREP		COL	eng	sastre13		
304	35	6	her	her.PRON.OBJ.F.3S		COL	eng	sastre13		
305	35	7	to	to.PREP		COL	eng	sastre13		
306	35	8	still	still.ADJ		COL	eng	sastre13		
307	35	9	be	be.V.INFIN		COL	eng	sastre13		
308	35	10	there	there.ADV		COL	eng	sastre13		
309	35	11	.			COL	999	sastre13		
310	36	1	but	but.CONJ		COL	eng	sastre13		
311	36	2	she	she.PRON.SUB.F.3S		COL	eng	sastre13		
312	36	3	doesn't	does.V.3S.PRES+NEG		COL	eng	sastre13		
313	36	4	want	want.SV.INFIN		COL	eng	sastre13		
314	36	5	to	to.PREP		COL	eng	sastre13		
315	36	6	give	give.V.INFIN		COL	eng	sastre13		
316	36	7	up	up.ADV		COL	eng	sastre13		
317	36	8	.			COL	999	sastre13		
318	37	1	that	that.CONJ.[or].that.DEM.FAR		ELI	eng	sastre13		
319	37	2	sucks	sucks.IM.[or].suck.V.3S.PRES		ELI	eng	sastre13		
320	37	3	.			ELI	999	sastre13		
321	38	1	but	but.CONJ		COL	eng	sastre13		
322	38	2	whatever	whatever.REL		COL	eng	sastre13		
323	38	3	.			COL	999	sastre13		
324	39	1	don't	do.V.12S13P.PRES+NEG		COL	eng	sastre13		
325	39	2	feel	feel.V.INFIN		COL	eng	sastre13		
326	39	3	bad	bad.ADJ		COL	eng	sastre13		
327	39	4	for	for.PREP		COL	eng	sastre13		
328	39	5	her	her.ADJ.POSS.F.3S.[or].her.PRON.OBJ.F.3S		COL	eng	sastre13		
329	39	6	.			COL	999	sastre13		
330	40	1	why	why.REL		ELI	eng	sastre13		
331	40	2	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
332	40	3	want	want.V.2SP.PRES		ELI	eng	sastre13		
333	40	4	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
334	40	5	want	want.V.2SP.PRES		ELI	eng	sastre13		
335	40	6	Obama	name		ELI	eng	sastre13		
336	40	7	to	to.PREP		ELI	eng	sastre13		
337	40	8	win	win.V.INFIN		ELI	eng	sastre13		
338	40	9	?			ELI	999	sastre13		
339	41	1	yeah	yeah.ADV		COL	eng	sastre13		
340	41	2	I	I.PRON.SUB.1S		COL	eng	sastre13		
341	41	3	want	want.V.1S.PRES		COL	eng	sastre13		
342	41	4	Barack	name		COL	eng	sastre13		
343	41	5	Obama	name		COL	eng	sastre13		
344	41	6	to	to.PREP		COL	eng	sastre13		
345	41	7	win	win.V.INFIN		COL	eng	sastre13		
346	41	8	.			COL	999	sastre13		
347	42	1	in	in.PREP		ELI	eng	sastre13		
348	42	2	a	a.DET.INDEF		ELI	eng	sastre13		
349	42	3	way	way.N.SG		ELI	eng	sastre13		
350	42	4	I	I.PRON.SUB.1S		ELI	eng	sastre13		
351	42	5	want	want.V.1S.PRES		ELI	eng	sastre13		
352	42	6	him	him.PRON.OBJ.M.3S		ELI	eng	sastre13		
353	42	7	to	to.PREP		ELI	eng	sastre13		
354	42	8	win	win.V.INFIN		ELI	eng	sastre13		
355	42	9	too	too.ADV		ELI	eng	sastre13		
356	42	10	.			ELI	999	sastre13		
357	43	1	but	but.CONJ		ELI	eng	sastre13		
358	43	2	then	then.ADV		ELI	eng	sastre13		
359	43	3	I	I.PRON.SUB.1S		ELI	eng	sastre13		
360	43	4	was	was.V.13S.PAST		ELI	eng	sastre13		
361	43	5	kind	kind.ADJ.[or].kind.N.SG		ELI	eng	sastre13		
362	43	6	of	of.PREP		ELI	eng	sastre13		
363	43	7	like	like.CONJ.[or].like.SV.INFIN		ELI	eng	sastre13		
364	43	8	rooting	unk		ELI	eng	sastre13		
365	43	9	for	for.PREP		ELI	eng	sastre13		
366	43	10	girl	girl.N.SG		ELI	eng	sastre13		
367	43	11	.			ELI	999	sastre13		
368	44	1	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
369	44	2	know	know.V.2SP.PRES		ELI	eng	sastre13		
370	44	3	?			ELI	999	sastre13		
371	45	1	yeah	yeah.ADV		COL	eng	sastre13		
372	45	2	of	of.PREP		COL	eng	sastre13		
373	45	3	course	course.N.SG		COL	eng	sastre13		
374	45	4	because	because.CONJ		COL	eng	sastre13		
375	45	5	you	you.PRON.SUB.2SP		COL	eng	sastre13		
376	45	6	want	want.V.2SP.PRES		COL	eng	sastre13		
377	45	7	you	you.PRON.SUB.2SP		COL	eng	sastre13		
378	45	8	know	know.V.2SP.PRES		COL	eng	sastre13		
379	45	9	you	you.PRON.SUB.2SP		COL	eng	sastre13		
380	45	10	want	want.V.2SP.PRES		COL	eng	sastre13		
381	45	11	her	her.PRON.OBJ.F.3S		COL	eng	sastre13		
382	45	12	to	to.PREP		COL	eng	sastre13		
383	45	13	you	you.PRON.SUB.2SP		COL	eng	sastre13		
384	45	14	know	know.V.2SP.PRES		COL	eng	sastre13		
385	45	15	change	change.SV.INFIN		COL	eng	sastre13		
386	45	16	.			COL	999	sastre13		
387	46	1	yeah	yeah.ADV		ELI	eng	sastre13		
388	46	2	yeah	yeah.ADV		ELI	eng	sastre13		
389	46	3	I'm	I.PRON.SUB.1S+BE.V.PRES		ELI	eng	sastre13		
390	46	4	a	a.DET.INDEF		ELI	eng	sastre13		
391	46	5	girl	girl.N.SG		ELI	eng	sastre13		
392	46	6	yeah	yeah.ADV		ELI	eng	sastre13		
393	46	7	.			ELI	999	sastre13		
394	47	1	so	so.ADV		COL	eng	sastre13		
395	47	2	what's	what.REL+GB		COL	eng	sastre13		
396	47	3	going	go.SV.INFIN+ASV		COL	eng	sastre13		
397	47	4	on	on.PREP		COL	eng	sastre13		
398	47	5	with	with.PREP		COL	eng	sastre13		
399	47	6	your	your.ADJ.POSS.2SP		COL	eng	sastre13		
400	47	7	hair	hair.N.SG		COL	eng	sastre13		
401	47	8	?			COL	999	sastre13		
402	48	1	it	it.PRON.SUB.3S		COL	eng	sastre13		
403	48	2	looks	look.V.3S.PRES		COL	eng	sastre13		
404	48	3	very	very.ADV		COL	eng	sastre13		
405	48	4	nice	nice.ADJ		COL	eng	sastre13		
406	48	5	today	today.N.SG		COL	eng	sastre13		
407	48	6	.			COL	999	sastre13		
408	49	1	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
409	49	2	know	know.V.2SP.PRES		ELI	eng	sastre13		
410	49	3	what	what.REL		ELI	eng	sastre13		
411	49	4	?			ELI	999	sastre13		
412	50	1	I	I.PRON.SUB.1S		ELI	eng	sastre13		
413	50	2	didn't	did.V.PAST+NEG		ELI	eng	sastre13		
414	50	3	want	want.SV.INFIN		ELI	eng	sastre13		
415	50	4	to	to.PREP		ELI	eng	sastre13		
416	50	5	brush	brush.N.SG		ELI	eng	sastre13		
417	50	6	my	my.ADJ.POSS.1S		ELI	eng	sastre13		
418	50	7	hair	hair.N.SG		ELI	eng	sastre13		
419	50	8	today	today.N.SG		ELI	eng	sastre13		
420	50	9	.			ELI	999	sastre13		
421	51	1	that's	that.DEM.FAR+BE.V.3S.PRES		ELI	eng	sastre13		
422	51	2	why	why.REL		ELI	eng	sastre13		
423	51	3	.			ELI	999	sastre13		
424	52	1	I	I.PRON.SUB.1S		ELI	eng	sastre13		
425	52	2	didn't	did.V.PAST+NEG		ELI	eng	sastre13		
426	52	3	I	I.PRON.SUB.1S		ELI	eng	sastre13		
427	52	4	I	I.PRON.SUB.1S		ELI	eng	sastre13		
428	52	5	didn't	did.V.PAST+NEG		ELI	eng	sastre13		
429	52	6	feel	feel.SV.INFIN		ELI	eng	sastre13		
430	52	7	like	like.CONJ		ELI	eng	sastre13		
431	52	8	looking	look.V.PRESPART		ELI	eng	sastre13		
432	52	9	the	the.DET.DEF		ELI	eng	sastre13		
433	52	10	same	same.ADJ		ELI	eng	sastre13		
434	52	11	today	today.N.SG		ELI	eng	sastre13		
435	52	12	.			ELI	999	sastre13		
436	53	1	you	you.PRON.SUB.2SP		COL	eng	sastre13		
437	53	2	look	look.V.2SP.PRES		COL	eng	sastre13		
438	53	3	nice	nice.ADJ		COL	eng	sastre13		
439	53	4	though	though.CONJ		COL	eng	sastre13		
440	53	5	.			COL	999	sastre13		
441	54	1	thank	thank.V.INFIN		ELI	eng	sastre13		
442	54	2	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
443	54	3	.			ELI	999	sastre13		
444	55	1	you're	you.PRON.SUB.2SP+BE.V.PRES		COL	eng	sastre13		
445	55	2	welcome	welcome.ADJ		COL	eng	sastre13		
446	55	3	.			COL	999	sastre13		
447	56	1	you	you.PRON.SUB.2SP		ELI	eng	sastre13		
448	56	2	look	look.V.2SP.PRES		ELI	eng	sastre13		
449	56	3	nice	nice.ADJ		ELI	eng	sastre13		
450	56	4	yourself	yourself.PRON.REFL.2SP		ELI	eng	sastre13		
451	56	5	.			ELI	999	sastre13		
452	57	1	I	I.PRON.SUB.1S		ELI	eng	sastre13		
453	57	2	like	like.V.1S.PRES		ELI	eng	sastre13		
454	57	3	your	your.ADJ.POSS.2SP		ELI	eng	sastre13		
455	57	4	hat	hat.N.SG		ELI	eng	sastre13		
456	57	5	.			ELI	999	sastre13		
457	58	1	thank	thank.V.INFIN		COL	eng	sastre13		
458	58	2	you	you.PRON.SUB.2SP		COL	eng	sastre13		
459	58	3	I	I.PRON.SUB.1S		COL	eng	sastre13		
460	58	4	wear	wear.V.1S.PRES		COL	eng	sastre13		
461	58	5	it	it.PRON.OBJ.3S		COL	eng	sastre13		
462	58	6	all	all.ADJ		COL	eng	sastre13		
463	58	7	the	the.DET.DEF		COL	eng	sastre13		
464	58	8	time	time.N.SG		COL	eng	sastre13		
465	58	9	.			COL	999	sastre13		
466	59	1	well	well.ADV		COL	eng	sastre13		
467	59	2	thank	thank.V.IMPER		COL	eng	sastre13		
468	59	3	you	you.PRON.SUB.2SP		COL	eng	sastre13		
469	59	4	.			COL	999	sastre13		
470	60	1	oh	oh.IM		ELI	eng	sastre13		
