word_id	utterance_id	location	surface	auto	fix	com	eng	speaker	langid	filename	clause	clauseno
62	11	3	his	his.ADJ.POSS.M.3S				REB	eng	zeledon2		
63	11	4	business	business.N.SG				REB	eng	zeledon2		
64	11	5	partner	partner.N.SG				REB	eng	zeledon2		
65	11	6	he's	he.PRON.SUB.M.3S+BE.V.3S.PRES				REB	eng	zeledon2		
66	11	7	the	the.DET.DEF				REB	eng	zeledon2		
67	11	8	broker	broker.N.SG				REB	eng	zeledon2		
68	11	9	.					REB	999	zeledon2		
69	12	1	and	and.CONJ				REB	eng	zeledon2		
70	12	2	his	his.ADJ.POSS.M.3S				REB	eng	zeledon2		
71	12	3	business	business.N.SG				REB	eng	zeledon2		
72	12	4	has	ha.IM+PV.[or].has.V.3S.PRES				REB	eng	zeledon2		
73	12	5	been	been.V.PASTPART				REB	eng	zeledon2		
74	12	6	so	so.ADV				REB	eng	zeledon2		
75	12	7	bad	bad.ADJ				REB	eng	zeledon2		
76	12	8	they	they.PRON.SUB.3P				REB	eng	zeledon2		
77	12	9	consolidated	consolidate.V.PAST				REB	eng	zeledon2		
78	12	10	.					REB	999	zeledon2		
79	13	1	so	so.ADV				REB	eng	zeledon2		
80	13	2	now	now.ADV				REB	eng	zeledon2		
81	13	3	I	I.PRON.SUB.1S				REB	eng	zeledon2		
82	13	4	work	work.V.1S.PRES				REB	eng	zeledon2		
83	13	5	.					REB	999	zeledon2		
84	14	1	oh	oh.IM				MAT	eng	zeledon2		
85	14	2	I	I.PRON.SUB.1S				MAT	eng	zeledon2		
86	14	3	see	see.V.1S.PRES				MAT	eng	zeledon2		
87	14	4	.					MAT	999	zeledon2		
88	15	1	for	for.PREP				REB	eng	zeledon2		
89	15	2	both	both.ADJ				REB	eng	zeledon2		
90	15	3	of	of.PREP				REB	eng	zeledon2		
91	15	4	them	them.PRON.OBJ.3P				REB	eng	zeledon2		
92	15	5	together	together.ADV				REB	eng	zeledon2		
93	15	6	simultaneously	simultaneous.ADJ+ADV.[or].simultaneously.ADV				REB	eng	zeledon2		
94	15	7	.					REB	999	zeledon2		
95	16	1	they	they.PRON.SUB.3P				REB	eng	zeledon2		
96	16	2	just	just.ADV				REB	eng	zeledon2		
97	16	3	pay	pay.V.INFIN				REB	eng	zeledon2		
98	16	4	me	me.PRON.OBJ.1S				REB	eng	zeledon2		
99	16	5	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
100	16	6	know	know.V.2SP.PRES				REB	eng	zeledon2		
101	16	7	four	four.NUM				REB	eng	zeledon2		
102	16	8	hours	hour.N.PL				REB	eng	zeledon2		
103	16	9	one	one.NUM.[or].one.PRON.SG				REB	eng	zeledon2		
104	16	10	pays	pay.V.3S.PRES				REB	eng	zeledon2		
105	16	11	me	me.PRON.OBJ.1S				REB	eng	zeledon2		
106	16	12	the	the.DET.DEF				REB	eng	zeledon2		
107	16	13	other	other.ADJ				REB	eng	zeledon2		
108	16	14	one	one.PRON.SG				REB	eng	zeledon2		
109	16	15	pays	pay.V.3S.PRES				REB	eng	zeledon2		
110	16	16	me	me.PRON.OBJ.1S				REB	eng	zeledon2		
111	16	17	four	four.NUM				REB	eng	zeledon2		
112	16	18	hours	hour.N.PL				REB	eng	zeledon2		
113	16	19	a	a.DET.INDEF				REB	eng	zeledon2		
114	16	20	day	day.N.SG				REB	eng	zeledon2		
115	16	21	like	like.CONJ.[or].like.N.SG				REB	eng	zeledon2		
116	16	22	that	that.DEM.FAR				REB	eng	zeledon2		
117	16	23	.					REB	999	zeledon2		
118	17	1	mmhm	mmhm.IM				MAT	eng	zeledon2		
119	17	2	oh	oh.IM				MAT	eng	zeledon2		
120	17	3	ok	unk				MAT	eng	zeledon2		
121	17	4	.					MAT	999	zeledon2		
122	18	1	but	but.CONJ				REB	eng	zeledon2		
123	18	2	I	I.PRON.SUB.1S				REB	eng	zeledon2		
124	18	3	.					REB	999	zeledon2		
125	19	1	and	and.CONJ				MAT	eng	zeledon2		
126	19	2	what	what.REL				MAT	eng	zeledon2		
127	19	3	do	do.SV.INFIN				MAT	eng	zeledon2		
128	19	4	you	you.PRON.SUB.2SP				MAT	eng	zeledon2		
129	19	5	do	do.V.2SP.PRES				MAT	eng	zeledon2		
130	19	6	like	like.CONJ				MAT	eng	zeledon2		
131	19	7	receptionist	receptionist.N.SG				MAT	eng	zeledon2		
132	19	8	or	or.CONJ				MAT	eng	zeledon2		
133	19	9	.					MAT	999	zeledon2		
134	20	1	I'm	I.PRON.SUB.1S+BE.V.PRES				REB	eng	zeledon2		
135	20	2	like	like.CONJ				REB	eng	zeledon2		
136	20	3	the	the.DET.DEF				REB	eng	zeledon2		
137	20	4	office	office.N.SG				REB	eng	zeledon2		
138	20	5	bitch	bitch.N.SG				REB	eng	zeledon2		
139	20	6	.					REB	999	zeledon2		
140	21	1	people	people.N.SG				REB	eng	zeledon2		
141	21	2	can	can.V.123SP.PRES				REB	eng	zeledon2		
142	21	3	say	say.V.INFIN				REB	eng	zeledon2		
143	21	4	.					REB	999	zeledon2		
144	22	1	.					MAT	999	zeledon2		
145	23	1	pardon	pardon.V.INFIN				REB	eng	zeledon2		
146	23	2	my	my.ADJ.POSS.1S				REB	eng	zeledon2		
147	23	3	French	name				REB	eng	zeledon2		
148	23	4	.					REB	999	zeledon2		
149	24	1	no	no.ADV				MAT	eng	zeledon2		
150	24	2	it's	it.PRON.SUB.3S+BE.V.3S.PRES				MAT	eng	zeledon2		
151	24	3	all	all.ADJ				MAT	eng	zeledon2		
152	24	4	right	right.ADJ				MAT	eng	zeledon2		
153	24	5	.					MAT	999	zeledon2		
154	25	1	but	but.CONJ				REB	eng	zeledon2		
155	25	2	um	um.IM				REB	eng	zeledon2		
156	25	3	I	I.PRON.SUB.1S				REB	eng	zeledon2		
157	25	4	do	do.V.1S.PRES				REB	eng	zeledon2		
158	25	5	everything	everything.PRON				REB	eng	zeledon2		
159	25	6	.					REB	999	zeledon2		
160	26	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
161	26	2	answer	answer.N.SG				REB	eng	zeledon2		
162	26	3	phones	phone.N.PL				REB	eng	zeledon2		
163	26	4	.					REB	999	zeledon2		
164	27	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
165	27	2	get	get.V.1S.PRES				REB	eng	zeledon2		
166	27	3	the	the.DET.DEF				REB	eng	zeledon2		
167	27	4	mail	mail.N.SG				REB	eng	zeledon2		
168	27	5	.					REB	999	zeledon2		
169	28	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
170	28	2	order	ord.N.SG+COMP.AG.[or].order.N.SG				REB	eng	zeledon2		
171	28	3	supplies	supply.N.PL.[or].supplies.N.SG				REB	eng	zeledon2		
172	28	4	.					REB	999	zeledon2		
173	29	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
174	29	2	babysit	unk				REB	eng	zeledon2		
175	29	3	the	the.DET.DEF				REB	eng	zeledon2		
176	29	4	realtors	realtor.N.PL				REB	eng	zeledon2		
177	29	5	because	because.CONJ				REB	eng	zeledon2		
178	29	6	they	they.PRON.SUB.3P				REB	eng	zeledon2		
179	29	7	don't	do.V.3P.PRES+NEG				REB	eng	zeledon2		
180	29	8	half	half.N.SG				REB	eng	zeledon2		
181	29	9	of	of.PREP				REB	eng	zeledon2		
182	29	10	them	them.PRON.OBJ.3P				REB	eng	zeledon2		
183	29	11	don't	do.V.12S13P.PRES+NEG				REB	eng	zeledon2		
184	29	12	know	know.V.INFIN				REB	eng	zeledon2		
185	29	13	what	what.REL				REB	eng	zeledon2		
186	29	14	they're	they.PRON.SUB.3P+BE.V.PRES				REB	eng	zeledon2		
187	29	15	doing	do.V.PRESPART				REB	eng	zeledon2		
188	29	16	.					REB	999	zeledon2		
189	30	1	they	they.PRON.SUB.3P				REB	eng	zeledon2		
190	30	2	don't	do.V.3P.PRES+NEG				REB	eng	zeledon2		
191	30	3	know	know.V.INFIN				REB	eng	zeledon2		
192	30	4	any	any.ADJ				REB	eng	zeledon2		
193	30	5	of	of.PREP				REB	eng	zeledon2		
194	30	6	the	the.DET.DEF				REB	eng	zeledon2		
195	30	7	forms	form.N.PL				REB	eng	zeledon2		
196	30	8	.					REB	999	zeledon2		
197	31	1	they	they.PRON.SUB.3P				REB	eng	zeledon2		
198	31	2	don't	do.V.3P.PRES+NEG				REB	eng	zeledon2		
199	31	3	know	know.V.INFIN				REB	eng	zeledon2		
200	31	4	anything	anything.PRON				REB	eng	zeledon2		
201	31	5	.					REB	999	zeledon2		
202	32	1	mmhm	mmhm.IM				MAT	eng	zeledon2		
203	32	2	.					MAT	999	zeledon2		
204	33	1	so	so.ADV				REB	eng	zeledon2		
205	33	2	I'm	I.PRON.SUB.1S+BE.V.PRES				REB	eng	zeledon2		
206	33	3	a	a.DET.INDEF				REB	eng	zeledon2		
207	33	4	administrative	administrative.ADJ				REB	eng	zeledon2		
208	33	5	assistant	assistant.N.SG				REB	eng	zeledon2		
209	33	6	.					REB	999	zeledon2		
210	34	1	I'm	I.PRON.SUB.1S+BE.V.PRES				REB	eng	zeledon2		
211	34	2	a	a.DET.INDEF				REB	eng	zeledon2		
212	34	3	receptionist	receptionist.N.SG				REB	eng	zeledon2		
213	34	4	.					REB	999	zeledon2		
214	35	1	ok	unk				MAT	eng	zeledon2		
215	35	2	.					MAT	999	zeledon2		
216	36	1	ok	unk				MAT	eng	zeledon2		
217	36	2	.					MAT	999	zeledon2		
218	37	1	I'm	I.PRON.SUB.1S+BE.V.PRES				REB	eng	zeledon2		
219	37	2	a	a.DET.INDEF				REB	eng	zeledon2		
220	37	3	post	post.N.SG				REB	eng	zeledon2		
221	37	4	closer	clos.N.SG+COMP.AG.[or].closer.N.SG				REB	eng	zeledon2		
222	37	5	.					REB	999	zeledon2		
223	38	1	wow	wow.IM				MAT	eng	zeledon2		
224	38	2	.					MAT	999	zeledon2		
225	39	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
226	39	2	am	am.V.1S.PRES				REB	eng	zeledon2		
227	39	3	the	the.DET.DEF				REB	eng	zeledon2		
228	39	4	head	head.N.SG				REB	eng	zeledon2		
229	39	5	of	of.PREP				REB	eng	zeledon2		
230	39	6	the	the.DET.DEF				REB	eng	zeledon2		
231	39	7	post	post.N.SG				REB	eng	zeledon2		
232	39	8	closing	close.V.PRESPART				REB	eng	zeledon2		
233	39	9	department	department.N.SG				REB	eng	zeledon2		
234	39	10	.					REB	999	zeledon2		
235	40	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
236	40	2	deal	deal.V.1S.PRES				REB	eng	zeledon2		
237	40	3	with	with.PREP				REB	eng	zeledon2		
238	40	4	everything	everything.PRON				REB	eng	zeledon2		
239	40	5	that	that.CONJ				REB	eng	zeledon2		
240	40	6	has	ha.IM+V 3S PRES.[or].has.V.3S.PRES				REB	eng	zeledon2		
241	40	7	to	to.PREP				REB	eng	zeledon2		
242	40	8	do	do.V.INFIN				REB	eng	zeledon2		
243	40	9	.					REB	999	zeledon2		
244	41	1	once	once.ADV				REB	eng	zeledon2		
245	41	2	a	a.DET.INDEF				REB	eng	zeledon2		
246	41	3	deal	deal.N.SG				REB	eng	zeledon2		
247	41	4	closes	close.N.SG+PV				REB	eng	zeledon2		
248	41	5	like	like.CONJ.[or].like.N.SG				REB	eng	zeledon2		
249	41	6	when	when.CONJ				REB	eng	zeledon2		
250	41	7	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
251	41	8	buy	buy.V.2SP.PRES				REB	eng	zeledon2		
252	41	9	a	a.DET.INDEF				REB	eng	zeledon2		
253	41	10	house	house.N.SG				REB	eng	zeledon2		
254	41	11	.					REB	999	zeledon2		
255	42	1	mmhm	mmhm.IM				MAT	eng	zeledon2		
256	42	2	.					MAT	999	zeledon2		
257	43	1	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
258	43	2	would	be.V.2SP.COND				REB	eng	zeledon2		
259	43	3	go	go.SV.INFIN				REB	eng	zeledon2		
260	43	4	to	to.PREP				REB	eng	zeledon2		
261	43	5	a	a.DET.INDEF				REB	eng	zeledon2		
262	43	6	title	title.N.SG				REB	eng	zeledon2		
263	43	7	company	company.N.SG				REB	eng	zeledon2		
264	43	8	to	to.PREP				REB	eng	zeledon2		
265	43	9	do	do.V.INFIN				REB	eng	zeledon2		
266	43	10	your	your.ADJ.POSS.2SP				REB	eng	zeledon2		
267	43	11	closing	close.N.SG+ASV				REB	eng	zeledon2		
268	43	12	.					REB	999	zeledon2		
269	44	1	right	right.ADJ				MAT	eng	zeledon2		
270	44	2	.					MAT	999	zeledon2		
271	45	1	to	to.PREP				REB	eng	zeledon2		
272	45	2	sign	sign.N.SG				REB	eng	zeledon2		
273	45	3	all	all.ADJ				REB	eng	zeledon2		
274	45	4	the	the.DET.DEF				REB	eng	zeledon2		
275	45	5	paperwork	paperwork.N.SG				REB	eng	zeledon2		
276	45	6	.					REB	999	zeledon2		
277	46	1	after	after.PREP				REB	eng	zeledon2		
278	46	2	that	that.CONJ				REB	eng	zeledon2		
279	46	3	I	I.PRON.SUB.1S				REB	eng	zeledon2		
280	46	4	do	do.V.1S.PRES				REB	eng	zeledon2		
281	46	5	the	the.DET.DEF				REB	eng	zeledon2		
282	46	6	package	package.N.SG				REB	eng	zeledon2		
283	46	7	.					REB	999	zeledon2		
284	47	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
285	47	2	send	send.V.1S.PRES				REB	eng	zeledon2		
286	47	3	it	it.PRON.OBJ.3S				REB	eng	zeledon2		
287	47	4	to	to.PREP				REB	eng	zeledon2		
288	47	5	the	the.DET.DEF				REB	eng	zeledon2		
289	47	6	bank	bank.N.SG				REB	eng	zeledon2		
290	47	7	.					REB	999	zeledon2		
291	48	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
292	48	2	deal	deal.V.1S.PRES				REB	eng	zeledon2		
293	48	3	with	with.PREP				REB	eng	zeledon2		
294	48	4	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
295	48	5	know	know.V.2SP.PRES				REB	eng	zeledon2		
296	48	6	funding	fund.N.SG+ASV				REB	eng	zeledon2		
297	48	7	conditions	condition.N.PL				REB	eng	zeledon2		
298	48	8	.					REB	999	zeledon2		
299	49	1	then	then.ADV				REB	eng	zeledon2		
300	49	2	I'm	I.PRON.SUB.1S+BE.V.PRES				REB	eng	zeledon2		
301	49	3	the	the.DET.DEF				REB	eng	zeledon2		
302	49	4	one	one.PRON.SG				REB	eng	zeledon2		
303	49	5	who	who.REL				REB	eng	zeledon2		
304	49	6	prepares	prepare.V.INFIN+PV				REB	eng	zeledon2		
305	49	7	the	the.DET.DEF				REB	eng	zeledon2		
306	49	8	policy	policy.N.SG				REB	eng	zeledon2		
307	49	9	.					REB	999	zeledon2		
308	50	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
309	50	2	do	do.V.1S.PRES				REB	eng	zeledon2		
310	50	3	recordings	unk				REB	eng	zeledon2		
311	50	4	.					REB	999	zeledon2		
312	51	1	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
313	51	2	know	know.V.2SP.PRES				REB	eng	zeledon2		
314	51	3	I	I.PRON.SUB.1S				REB	eng	zeledon2		
315	51	4	send	send.V.1S.PRES				REB	eng	zeledon2		
316	51	5	the	the.DET.DEF				REB	eng	zeledon2		
317	51	6	stuff	stuff.N.SG				REB	eng	zeledon2		
318	51	7	to	to.PREP				REB	eng	zeledon2		
319	51	8	be	be.V.INFIN				REB	eng	zeledon2		
320	51	9	recorded	record.V.PASTPART				REB	eng	zeledon2		
321	51	10	to	to.PREP				REB	eng	zeledon2		
322	51	11	the	the.DET.DEF				REB	eng	zeledon2		
323	51	12	court	court.N.SG				REB	eng	zeledon2		
324	51	13	.					REB	999	zeledon2		
325	52	1	you	you.PRON.SUB.2SP				MAT	eng	zeledon2		
326	52	2	do	do.V.2SP.PRES				MAT	eng	zeledon2		
327	52	3	a	a.DET.INDEF				MAT	eng	zeledon2		
328	52	4	lot	lot.N.SG				MAT	eng	zeledon2		
329	52	5	.					MAT	999	zeledon2		
330	53	1	yes	yes.ADV				REB	eng	zeledon2		
331	53	2	.					REB	999	zeledon2		
332	54	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
333	54	2	do	do.V.1S.PRES				REB	eng	zeledon2		
334	54	3	a	a.DET.INDEF				REB	eng	zeledon2		
335	54	4	lot	lot.N.SG				REB	eng	zeledon2		
336	54	5	and	and.CONJ				REB	eng	zeledon2		
337	54	6	.					REB	999	zeledon2		
338	55	1	and	and.CONJ				MAT	eng	zeledon2		
339	55	2	where	where.ADV				MAT	eng	zeledon2		
340	55	3	is	is.V.3S.PRES				MAT	eng	zeledon2		
341	55	4	that	that.CONJ.[or].that.DEM.FAR				MAT	eng	zeledon2		
342	55	5	at	at.PREP				MAT	eng	zeledon2		
343	55	6	?					MAT	999	zeledon2		
344	56	1	it's	it.PRON.SUB.3S+BE.V.3S.PRES				REB	eng	zeledon2		
345	56	2	in	in.PREP				REB	eng	zeledon2		
346	56	3	Doral	name				REB	eng&spa	zeledon2		
347	56	4	.					REB	999	zeledon2		
348	57	1	oh	oh.IM				MAT	eng	zeledon2		
349	57	2	ok	unk				MAT	eng	zeledon2		
350	57	3	.					MAT	999	zeledon2		
351	58	1	but	but.CONJ				REB	eng	zeledon2		
352	58	2	um	um.IM				REB	eng	zeledon2		
353	58	3	.					REB	999	zeledon2		
354	59	1	you	you.PRON.SUB.2SP				MAT	eng	zeledon2		
355	59	2	live	live.V.2SP.PRES				MAT	eng	zeledon2		
356	59	3	here	here.ADV				MAT	eng	zeledon2		
357	59	4	in	in.PREP				MAT	eng	zeledon2		
358	59	5	Miami	name				MAT	eng&spa	zeledon2		
359	59	6	right	right.ADJ				MAT	eng	zeledon2		
360	59	7	?					MAT	999	zeledon2		
361	60	1	yeah	yeah.ADV				REB	eng	zeledon2		
362	60	2	.					REB	999	zeledon2		
363	61	1	where	where.REL				MAT	eng	zeledon2		
364	61	2	?					MAT	999	zeledon2		
365	62	1	do	do.V.INFIN				REB	eng	zeledon2		
366	62	2	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
367	62	3	know	know.V.2SP.PRES				REB	eng	zeledon2		
368	62	4	where	where.REL				REB	eng	zeledon2		
369	62	5	the	the.DET.DEF				REB	eng	zeledon2		
370	62	6	Mall	name				REB	eng	zeledon2		
371	62	7	of	of.PREP				REB	eng	zeledon2		
372	62	8	the	the.DET.DEF				REB	eng	zeledon2		
373	62	9	Americas	name				REB	eng	zeledon2		
374	62	10	is	is.V.3S.PRES				REB	eng	zeledon2		
375	62	11	?					REB	999	zeledon2		
376	63	1	yeah	yeah.ADV				MAT	eng	zeledon2		
377	63	2	.					MAT	999	zeledon2		
378	64	1	and	and.CONJ				REB	eng	zeledon2		
379	64	2	the	the.DET.DEF				REB	eng	zeledon2		
380	64	3	Walmart	name				REB	eng	zeledon2		
381	64	4	?					REB	999	zeledon2		
382	65	1	well	well.ADV				MAT	eng	zeledon2		
383	65	2	not	not.ADV				MAT	eng	zeledon2		
384	65	3	specifically	unk				MAT	eng	zeledon2		
385	65	4	the	the.DET.DEF				MAT	eng	zeledon2		
386	65	5	Walmart	name				MAT	eng&spa	zeledon2		
387	65	6	but	but.CONJ				MAT	eng	zeledon2		
388	65	7	I	I.PRON.SUB.1S				MAT	eng	zeledon2		
389	65	8	know	know.V.1S.PRES				MAT	eng	zeledon2		
390	65	9	where	where.REL				MAT	eng	zeledon2		
391	65	10	the	the.DET.DEF				MAT	eng	zeledon2		
392	65	11	Mall	name				MAT	eng	zeledon2		
393	65	12	of	of.PREP				MAT	eng	zeledon2		
394	65	13	the	the.DET.DEF				MAT	eng	zeledon2		
395	65	14	Americas	name				MAT	eng	zeledon2		
396	65	15	is	is.V.3S.PRES				MAT	eng	zeledon2		
397	65	16	.					MAT	999	zeledon2		
398	66	1	it's	it.PRON.SUB.3S+BE.V.3S.PRES				REB	eng	zeledon2		
399	66	2	by	by.PREP				REB	eng	zeledon2		
400	66	3	there	there.ADV				REB	eng	zeledon2		
401	66	4	.					REB	999	zeledon2		
402	67	1	right	right.ADJ				MAT	eng	zeledon2		
403	67	2	by	by.PREP				MAT	eng	zeledon2		
404	67	3	the	the.DET.DEF				MAT	eng	zeledon2		
405	67	4	Palmetto	name				MAT	eng&spa	zeledon2		
406	67	5	?					MAT	999	zeledon2		
407	68	1	yes	yes.ADV				REB	eng	zeledon2		
408	68	2	.					REB	999	zeledon2		
409	69	1	ok	unk				MAT	eng	zeledon2		
410	69	2	.					MAT	999	zeledon2		
411	70	1	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
412	70	2	know	know.V.2SP.PRES				REB	eng	zeledon2		
413	70	3	where	where.REL				REB	eng	zeledon2		
414	70	4	Chevys	name				REB	eng&spa	zeledon2		
415	70	5	is	is.V.3S.PRES				REB	eng	zeledon2		
416	70	6	?					REB	999	zeledon2		
417	71	1	no	no.ADV				REB	eng	zeledon2		
418	71	2	?					REB	999	zeledon2		
419	72	1	no	no.ADV				MAT	eng	zeledon2		
420	72	2	.					MAT	999	zeledon2		
421	73	1	.					REB	999	zeledon2		
422	74	1	I've	I.PRON.SUB.1S+HAVE.V.PRES				MAT	eng	zeledon2		
423	74	2	only	only.ADJ.[or].on.PREP+ADV				MAT	eng	zeledon2		
424	74	3	lived	live.SV.INFIN+AV				MAT	eng	zeledon2		
425	74	4	here	here.ADV				MAT	eng	zeledon2		
426	74	5	for	for.PREP				MAT	eng	zeledon2		
427	74	6	like	like.CONJ				MAT	eng	zeledon2		
428	74	7	a	a.DET.INDEF				MAT	eng	zeledon2		
429	74	8	year	year.N.SG				MAT	eng	zeledon2		
430	74	9	well	well.ADV				MAT	eng	zeledon2		
431	74	10	a	a.DET.INDEF				MAT	eng	zeledon2		
432	74	11	year	year.N.SG				MAT	eng	zeledon2		
433	74	12	as	as.CONJ				MAT	eng	zeledon2		
434	74	13	of	of.PREP				MAT	eng	zeledon2		
435	74	14	December	name				MAT	eng	zeledon2		
436	74	15	.					MAT	999	zeledon2		
437	75	1	right	right.ADJ				REB	eng	zeledon2		
438	75	2	where	where.ADV				REB	eng	zeledon2		
439	75	3	are	are.V.123P.PRES				REB	eng	zeledon2		
440	75	4	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
441	75	5	from	from.PREP				REB	eng	zeledon2		
442	75	6	?					REB	999	zeledon2		
443	76	1	New_Jersey	name				MAT	eng&spa	zeledon2		
444	76	2	.					MAT	999	zeledon2		
445	77	1	right	right.ADJ				REB	eng	zeledon2		
446	77	2	.					REB	999	zeledon2		
447	78	1	ok	unk				REB	eng	zeledon2		
448	78	2	.					REB	999	zeledon2		
449	79	1	and	and.CONJ				REB	eng	zeledon2		
450	79	2	do	do.V.INFIN				REB	eng	zeledon2		
451	79	3	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
452	79	4	live	live.V.2SP.PRES				REB	eng	zeledon2		
453	79	5	.					REB	999	zeledon2		
454	80	1	I	I.PRON.SUB.1S				MAT	eng	zeledon2		
455	80	2	live	live.V.1S.PRES				MAT	eng	zeledon2		
456	80	3	in	in.PREP				MAT	eng	zeledon2		
457	80	4	Miami	name				MAT	eng&spa	zeledon2		
458	80	5	yeah	yeah.ADV				MAT	eng	zeledon2		
459	80	6	.					MAT	999	zeledon2		
460	81	1	but	but.CONJ				REB	eng	zeledon2		
461	81	2	where	where.REL				REB	eng	zeledon2		
462	81	3	?					REB	999	zeledon2		
463	82	1	um	um.IM				MAT	eng	zeledon2		
464	82	2	.					MAT	999	zeledon2		
465	83	1	you	you.PRON.SUB.2SP				REB	eng	zeledon2		
466	83	2	have	have.V.2SP.PRES				REB	eng	zeledon2		
467	83	3	to	to.PREP				REB	eng	zeledon2		
468	83	4	tell	tell.V.INFIN				REB	eng	zeledon2		
469	83	5	me	me.PRON.OBJ.1S				REB	eng	zeledon2		
470	83	6	a	a.DET.INDEF				REB	eng	zeledon2		
